psi_delay,psi_error,status,solve_time,total_cost,gpu_rental_cost,storage_cost_model,storage_cost_data,storage_cost_total,delay_penalty,error_penalty,unmet_demand_penalty,total_gpus,workload_allocation,precision_FP16,precision_INT8,precision_INT4,avg_model_size_GB,error_rate,total_unmet_demand,num_active_configs,gpu_allocation,model_instances
0.5,0.5,OPTIMAL,4.7984020709991455,2573.7181649029735,248.09015167366363,2.0061801770282415,4.034026301284249,6.0402064783124905,158.41389917294242,0.0,2161.1738224162104,17,"dict_values([0.6277906771010066, 0.6219652920854286, 1.0, 0.5098004686623794, 0.6696365272314605, 0.45398037337787456])",0,17,0,73.76470588235293,0.0,0.35280414293158857,3,"{'RTX_4090_INT8': 1, 'H100_80GB_INT8': 8, 'A6000_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 8, 'Llama-3.1-70B': 8}"
0.5,0.7,OPTIMAL,7.848250150680542,2399.606491163942,223.28413921904732,0.8789007807287522,4.592183656000456,5.471084436729209,161.9092177985384,0.020729434735248842,2008.9213202748917,11,"dict_values([0.6277906771010066, 0.6219652920854285, 1.0, 0.5408265975877874, 0.6696365272314604, 0.6355725227283162])",0,11,0,14.727272727272727,0.020729434735248842,0.3173680638775326,3,"{'RTX_4090_INT8': 2, 'H100_80GB_INT8': 9}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 1}"
0.5,0.9,OPTIMAL,9.763664245605469,2102.682513153317,157.08536627159435,0.7833680871712791,5.152731041424481,5.93609912859576,115.18776197086763,0.027849505592229373,1824.445436276667,12,"dict_values([0.5922541118889412, 0.6155304619840035, 1.0, 0.695357922566399, 0.6820974431237986, 0.8143306439537454])",8,4,0,15.666666666666668,0.027849505592229373,0.26673823574682576,4,"{'H100_80GB_INT8': 4, 'A6000_FP16': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 10, 'Llama-3.2-11B-Vision': 1}"
0.5,1.1,OPTIMAL,14.118930101394653,1776.5024747329717,128.52943308567544,0.6878353936138062,5.513541763709372,6.201377157323178,109.17051237985947,0.030791082162760167,1532.5703610279506,12,"dict_values([0.5922541311187932, 0.6369327512453338, 1.0, 0.8229149680339795, 0.8374321414284289, 0.8145910142208725])",11,1,0,15.333333333333332,0.030791082162760167,0.21597916565876493,4,"{'H100_80GB_FP16': 1, 'H100_80GB_INT8': 1, 'A6000_FP16': 10}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 2}"
0.5,1.3,OPTIMAL,5.479768991470337,1246.0088734720664,119.74108762730759,0.592302700056333,5.9888749395209,6.581177639577233,99.05659511802673,0.0384153022846893,1008.6975078966431,9,"dict_values([0.6642041784079441, 0.7554083542207132, 1.0, 0.9193954252994023, 0.9896925307790454, 0.8145910142208724])",2,7,0,14.0,0.0384153022846893,0.14106683788906835,4,"{'H100_80GB_FP16': 2, 'H100_80GB_INT8': 1, 'A6000_INT8': 6}","{'Llama-3.2-3B': 3, 'Llama-3.1-8B': 4, 'Llama-3.2-11B-Vision': 2}"
0.5,1.5,OPTIMAL,4.244364976882935,882.9949363019896,120.97298324043527,0.4585569290758707,6.326735371297193,6.785292300373064,96.56735145687291,0.053740217324400305,658.615569086984,7,"dict_values([0.766389436624551, 0.8716250241008219, 1.0, 0.9193954252994023, 1.0, 0.8651612893003394])",2,5,0,10.0,0.053740217324400305,0.09623813744581423,5,"{'H100_80GB_INT8': 3, 'A6000_FP16': 1, 'H100_80GB_FP16': 1, 'A6000_INT8': 2}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 4, 'Llama-3.2-11B-Vision': 2}"
0.5,1.7,OPTIMAL,3.340693950653076,509.29254739234807,133.15056942516523,0.4585569290758707,6.837930071907051,7.296487000982922,102.36093981133463,0.0539314096153964,228.65483980025158,7,"dict_values([0.8685746948411577, 0.9843501114019392, 1.0, 0.9193954252994023, 1.0, 0.9805161278737179])",0,7,0,10.0,0.0539314096153964,0.035338313309906666,3,"{'H100_80GB_INT8': 5, 'A6000_INT8': 2}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 4, 'Llama-3.2-11B-Vision': 2}"
0.5,1.9,OPTIMAL,5.128082990646362,301.2881741706343,90.93023705840625,0.4585569290758707,6.981861836572026,7.440418765647897,112.5391465969292,0.07549354313627446,50.713822777639024,9,"dict_values([0.9707599530577645, 1.0, 1.0, 0.9193954252994022, 1.0, 1.0])",0,9,0,9.11111111111111,0.07549354313627446,0.013434095783432964,4,"{'RTX_4090_INT8': 1, 'A6000_INT8': 6, 'H100_80GB_INT8': 2}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 6, 'Llama-3.2-11B-Vision': 2}"
0.7,0.5,OPTIMAL,3.905539035797119,1660.5478916272705,267.74591688572013,2.0061858959788594,4.921045295624859,6.927231191603719,210.7477169880483,0.018544331472299527,1168.5565554705922,20,"dict_values([0.7851287860303356, 0.8707514089196736, 1.0, 0.6629935894758501, 0.9374911381240446, 0.45398037337787456])",0,20,0,58.9,0.018544331472299527,0.21494239542923776,4,"{'RTX_4090_INT8': 1, 'A6000_INT8': 11, 'H100_80GB_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 12, 'Llama-3.1-70B': 7}"
0.7,0.7,OPTIMAL,4.857339143753052,1452.3951536796244,301.5584582035227,2.0061858959788594,5.530995120955485,7.537181016934344,221.8938733044013,0.022124684406000416,914.8315897105266,19,"dict_values([0.8789069479414089, 0.8707514089196001, 1.0, 0.6629935894758502, 0.9323111483654941, 0.6355725227290242])",2,17,0,60.631578947368425,0.022124684406000416,0.16991067517863795,4,"{'RTX_4090_INT8': 2, 'H100_80GB_FP16': 2, 'H100_80GB_INT8': 8, 'A6000_INT8': 7}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 10, 'Llama-3.1-70B': 7}"
0.7,0.9,OPTIMAL,5.027905702590942,1268.2986916873003,296.51366391402416,0.8789007807287522,6.168516167775789,7.047416948504542,221.9351516220154,0.022127515436054523,742.7803316873201,12,"dict_values([0.878906947941409, 0.8707514089195999, 1.0, 0.6953484826128696, 0.9323111483654942, 0.8431063502661706])",2,10,0,15.666666666666668,0.022127515436054523,0.12992927698240941,4,"{'H100_80GB_INT8': 10, 'H100_80GB_FP16': 2}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 10, 'Llama-3.2-11B-Vision': 1}"
0.7,1.1,OPTIMAL,5.960069894790649,1059.5640811426952,242.74689641331275,0.7833680871712791,6.458571176747729,7.241939263919009,151.30388203454802,0.039304678537124195,657.323369654896,13,"dict_values([0.878906947941409, 0.8707514089196001, 1.0, 0.8229149680339788, 0.8374321414284231, 0.998756821431324])",3,10,0,14.615384615384617,0.039304678537124195,0.0983324222794315,4,"{'RTX_4090_INT8': 2, 'H100_80GB_FP16': 1, 'H100_80GB_INT8': 8, 'A6000_FP16': 2}","{'Llama-3.2-3B': 3, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 2}"
0.7,1.3,OPTIMAL,4.787391901016235,800.732267015458,241.3991309981483,0.7833680871712791,6.800926129209081,7.584294216380361,158.06732858012225,0.045629207161812645,358.3153243208004,12,"dict_values([0.8789069479414091, 0.8707514089195999, 1.0, 0.9627659574468087, 0.9896925307790454, 1.0])",3,9,0,15.333333333333332,0.045629207161812645,0.04172360718983183,4,"{'A6000_INT8': 1, 'H100_80GB_FP16': 1, 'H100_80GB_INT8': 8, 'RTX_4090_FP16': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 2}"
0.7,1.5,OPTIMAL,3.8327748775482178,671.2850857525394,171.19001537993614,0.592302700056333,6.8278525155932215,7.4201552156495545,135.60760473772933,0.06572489898587143,357.00158552023856,12,"dict_values([0.8789069479414093, 0.8716250241008219, 1.0, 1.0, 1.0, 1.0])",2,10,0,14.666666666666666,0.06572489898587143,0.04157800465962813,5,"{'A6000_FP16': 1, 'A6000_INT8': 6, 'H100_80GB_FP16': 1, 'H100_80GB_INT8': 4}","{'Llama-3.2-3B': 4, 'Llama-3.1-8B': 4, 'Llama-3.2-11B-Vision': 4}"
0.7,1.7,OPTIMAL,4.7028608322143555,442.0701649228812,122.24506770977739,0.49677000649885994,6.90710223478289,7.40387224128175,110.89592366889511,0.050551734064003345,177.94101702259024,8,"dict_values([0.8685746948411608, 0.9843501114019392, 1.0, 1.0, 1.0, 1.0])",0,8,0,14.0,0.050551734064003345,0.021904217526470968,2,"{'H100_80GB_INT8': 4, 'A6000_INT8': 4}","{'Llama-3.2-3B': 4, 'Llama-3.2-11B-Vision': 4}"
0.7,1.9,OPTIMAL,6.113545179367065,263.1286126934553,100.43406427900172,0.49677000649885994,6.991546662607314,7.488316669106174,115.55435699372072,0.06281932275086778,0.0,10,"dict_values([0.9707599530577644, 1.0, 1.0, 1.0, 1.0, 1.0])",0,10,0,12.4,0.06281932275086778,0.0,3,"{'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 6, 'Llama-3.2-11B-Vision': 4}"
0.9,0.5,OPTIMAL,5.050662994384766,1555.2208220752973,175.31274259818184,2.0061784327790466,5.049717395034848,7.055895827813894,270.0234494571296,0.0,1102.8286186885687,25,"dict_values([0.7763827654140781, 0.8743686868686854, 0.9999996844733258, 0.662989913785334, 1.0, 0.45398037337787456])",16,9,0,55.28,0.0,0.2053793042830696,4,"{'RTX_4090_INT8': 1, 'A6000_FP16': 8, 'RTX_4090_FP16': 8, 'A6000_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 16, 'Llama-3.1-70B': 8}"
0.9,0.7,OPTIMAL,5.398035049438477,985.125516920892,221.09745619726246,2.0061865647069346,5.82710620368021,7.833292768387144,260.27732266027334,0.02554746059866701,478.40812181797963,28,"dict_values([1.0, 1.0, 1.0, 0.662993920972645, 0.9848484848484774, 0.6355725227290242])",8,20,0,50.714285714285715,0.02554746059866701,0.11690559271638848,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 8, 'A6000_INT8': 16, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.1-70B': 8}"
0.9,0.9,OPTIMAL,4.066589117050171,801.0246443634495,209.50074017041172,0.8789007807287522,6.4646272106704235,7.343527991399176,260.31455211920075,0.025184271279944815,306.35686379477255,20,"dict_values([1.0, 1.0, 1.0, 0.6953484826128703, 0.9848484848484849, 0.8431063502661706])",8,12,0,15.8,0.025184271279944815,0.07692419452015985,5,"{'H100_80GB_INT8': 4, 'A6000_FP16': 8, 'A6000_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 1}"
0.9,1.1,OPTIMAL,4.6047728061676025,597.2191697085328,176.3130804873483,0.8789005702477276,6.955179380910886,7.834079951158614,275.5976525951253,0.03462306038048468,111.41624356999104,21,"dict_values([1.0, 0.9999993114885642, 0.9999993114885636, 0.8229149680339788, 0.9848484880101986, 0.998756821431324])",9,12,0,15.619047619047619,0.03462306038048468,0.02951417199433687,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 9, 'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 17, 'Llama-3.2-11B-Vision': 2}"
0.9,1.3,OPTIMAL,3.051147937774658,398.8975127643056,162.78772888745388,0.7833680871712791,6.986015528833992,7.769383616005271,192.97070428030744,0.04913628769440247,0.0,20,"dict_values([1.0, 1.0, 1.0, 0.9627659574468092, 0.9896925307790454, 1.0])",11,9,0,15.600000000000001,0.04913628769440247,0.0,5,"{'A6000_INT8': 9, 'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'RTX_4090_FP16': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 2}"
0.9,1.5,OPTIMAL,3.8007988929748535,360.00321675710956,152.77488983415603,0.7833680871712791,6.99624772684297,7.7796158140142495,195.55585847573806,0.05681190466585285,0.0,22,"dict_values([1.0, 1.0, 1.0, 1.0, 1.0, 0.9947519083969463])",8,14,0,16.18181818181818,0.05681190466585285,0.0,4,"{'A6000_INT8': 14, 'A6000_FP16': 8}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 4}"
0.9,1.7,OPTIMAL,5.429702043533325,322.0295744238936,139.74559470311476,0.592302700056333,7.0002518658520145,7.5925545659083475,151.10042074036667,0.05676838282118199,0.0,16,"dict_values([1.0, 0.9843501114019392, 1.0, 1.0, 1.0, 1.0])",0,16,0,15.0,0.05676838282118199,0.0,4,"{'A6000_INT8': 14, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 4, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 4}"
0.9,1.9,OPTIMAL,5.418309926986694,263.1205622736628,100.43406427900172,0.4967699367810411,6.991546359747455,7.488316296528496,115.55030257578196,0.05878906537088434,0.0,10,"dict_values([0.9707599530577644, 1.0, 0.9999987837001956, 1.0, 1.0, 1.0])",0,10,0,12.4,0.05878906537088434,0.0,3,"{'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 6, 'Llama-3.2-11B-Vision': 4}"
1.1,0.5,OPTIMAL,5.91826605796814,1543.4794457284806,237.22611434882887,2.1017145312587786,5.436158824864924,7.537873356123702,321.6970178648037,0.0,977.0183773842382,24,"dict_values([0.7763827654140781, 0.8995926703546752, 1.0, 0.6629915777387102, 1.0, 0.5742064324906082])",12,12,0,57.33333333333333,0.0,0.18113750563251704,4,"{'A6000_FP16': 4, 'RTX_4090_FP16': 8, 'H100_80GB_INT8': 4, 'A6000_INT8': 8}","{'Llama-3.1-8B': 16, 'Llama-3.1-70B': 8}"
1.1,0.7,OPTIMAL,5.78368616104126,985.0518876285937,221.09745619726246,2.0061851659498258,5.827103853436325,7.833289019386151,260.22882913305057,0.0,478.4081218179797,28,"dict_values([1.0, 0.9999998317857863, 0.9999910171767611, 0.6629939209726449, 0.9848484922668772, 0.6355725227290242])",8,20,0,50.714285714285715,0.0,0.11690559271638849,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 8, 'A6000_INT8': 16, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.1-70B': 8}"
1.1,0.9,OPTIMAL,5.635926723480225,801.0246425698842,209.50074017041172,0.8789007807287522,6.4646272106704235,7.343527991399176,260.3145503256338,0.02518427128120347,306.35686379477306,20,"dict_values([1.0, 1.0, 1.0, 0.6953484826128695, 0.9848484848484849, 0.8431063502661706])",8,12,0,15.8,0.02518427128120347,0.07692419452015997,5,"{'H100_80GB_INT8': 4, 'A6000_FP16': 8, 'A6000_INT8': 8}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 1}"
1.1,1.1,OPTIMAL,5.443195104598999,597.2277478487508,183.9440786762515,0.8789007807287522,6.955180074446318,7.8340808551750705,275.6049742044459,0.035905429020675284,111.41624356999014,22,"dict_values([1.0, 1.0, 1.0, 0.8229149680339802, 0.9848484848484849, 0.998756821431324])",10,12,0,15.636363636363637,0.035905429020675284,0.02951417199433663,5,"{'RTX_4090_INT8': 2, 'A6000_FP16': 10, 'A6000_INT8': 8, 'H100_80GB_INT8': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 2}"
1.1,1.3,OPTIMAL,2.78511381149292,398.89749235995976,162.78772888745388,0.7833680871712791,6.986014278972332,7.769382366143612,192.97068513747584,0.04913627604524708,0.0,20,"dict_values([1.0, 1.0, 1.0, 0.9627659574468096, 0.9896919393231758, 1.0])",11,9,0,15.600000000000001,0.04913627604524708,0.0,5,"{'A6000_INT8': 9, 'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'RTX_4090_FP16': 2}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 2}"
1.1,1.5,OPTIMAL,3.940099000930786,360.0032167571071,152.77488983415603,0.7833680871712791,6.99624772684297,7.7796158140142495,195.5558584757356,0.05681190466585285,0.0,22,"dict_values([1.0, 1.0, 1.0, 1.0, 1.0, 0.9947519083969463])",8,14,0,16.18181818181818,0.05681190466585285,0.0,4,"{'A6000_INT8': 14, 'A6000_FP16': 8}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 4}"
